,Training Mean_eps,Learning Rate,Epsilon,Reward,Time Spent
0,68.48,0.1,0.5,0.61,145.5554
1,46.052,0.1,0.7,0.184,147.3175
2,67.154,0.1,0.9,0.532,145.1133
3,82.142,0.3,0.5,0.468,138.8785
4,77.126,0.3,0.7,0.576,140.9985
5,76.508,0.3,0.9,0.606,140.8665
6,77.256,0.5,0.5,0.096,141.3034
7,95.428,0.5,0.7,0.308,143.5627
8,111.598,0.5,0.9,0.67,143.8971
9,96.178,0.9,0.5,0.084,143.7406
10,128.062,0.9,0.7,0.236,143.9163
11,81.624,0.9,0.9,0.136,141.8025
